iteration,training_steps,episode_reward_mean,episode_reward_min,episode_reward_max,policy_loss,value_loss,total_loss,entropy,kl_divergence,vf_explained_var,time_elapsed
1,685848,22.44,10.0,57.0,-0.20339727401733398,8.401123046875,8.199200630187988,0.6864438652992249,0.007379038725048304,-0.008630752563476562,2.986027
2,1363765,25.62,11.0,65.0,-0.0918661504983902,8.143248558044434,8.054275512695312,0.6726897358894348,0.014461925253272057,0.013029694557189941,5.924276
3,2035417,27.58,12.0,63.0,0.043461620807647705,7.977398872375488,8.022282600402832,0.6564108729362488,0.007116236258298159,0.010806262493133545,8.818245
4,2697932,32.78,14.0,86.0,-0.06514045596122742,8.730592727661133,8.667377471923828,0.6306102275848389,0.009632987901568413,0.007349252700805664,11.756571
5,3358515,41.03,15.0,150.0,-0.06409557908773422,8.874433517456055,8.811986923217773,0.5977532267570496,0.008245361037552357,0.011643052101135254,14.836509
6,4005327,61.94,23.0,204.0,-0.011706128716468811,9.10555362701416,9.095513343811035,0.5990458130836487,0.008320915512740612,0.008168220520019531,17.682622
7,4652457,64.81,24.0,201.0,0.01415829174220562,8.995047569274902,9.010631561279297,0.5959588289260864,0.00713327107951045,0.0030806660652160645,20.529107
8,5295612,90.63,33.0,214.0,-0.052482232451438904,9.423230171203613,9.371722221374512,0.5882998704910278,0.004873533733189106,0.00505673885345459,23.382126
9,5933616,116.8,30.0,297.0,-0.146773561835289,9.699628829956055,9.553549766540527,0.5868331789970398,0.006954395677894354,0.01273268461227417,26.201714
10,6570514,141.68,34.0,348.0,-0.03492172807455063,9.59560489654541,9.56167221069336,0.5804075002670288,0.009895017370581627,0.010725617408752441,29.011539
11,7206938,160.03,35.0,348.0,0.09525958448648453,9.664669036865234,9.760807991027832,0.5647974014282227,0.008791054598987103,0.023708224296569824,31.804383
12,7842730,196.14,35.0,400.0,0.07889794558286667,9.477109909057617,9.556315422058105,0.5532715916633606,0.0030577986035495996,0.020279109477996826,34.60427
13,8477890,241.17,40.0,500.0,-0.009544295258820057,9.832261085510254,9.823260307312012,0.5688514113426208,0.010881531983613968,0.020766258239746094,37.376699
14,9108716,269.41,166.0,500.0,-0.12814563512802124,9.856884002685547,9.728841781616211,0.5796101093292236,0.0020625698380172253,0.02352464199066162,40.169373
15,9739699,257.87,49.0,500.0,0.059330496937036514,9.748746871948242,9.808155059814453,0.569952666759491,0.0030746750999242067,0.026581943035125732,43.007824
16,10370054,295.76,49.0,500.0,0.03227134421467781,9.904891967773438,9.937270164489746,0.5416871309280396,0.008402692154049873,0.023735761642456055,45.833502
17,11000723,333.63,146.0,500.0,-0.07617064565420151,9.858110427856445,9.782047271728516,0.5540300607681274,0.00861339457333088,0.02295541763305664,48.785325
18,11630764,362.07,150.0,500.0,-0.023431407287716866,9.784236907958984,9.76086139678955,0.5550092458724976,0.004503344651311636,0.0139085054397583,51.615567
19,12260962,372.99,150.0,500.0,0.03476961702108383,9.845115661621094,9.879951477050781,0.5164561867713928,0.010690342634916306,0.03848522901535034,54.652679
